% log of messages transmitted to brudge (outgoing) (<-)
% received from bridge (incoming) (->)
% 1 Linux timestamp (seconds since 1 jan 1970)
% 2 mission time (sec)
% 3 direction flag ->: or <-:
% 4 string send or received
1552663874.936  0.001->: Connected to bridge  1
1552663874.962  0.028->: robot stop
1552663874.966  0.032->: robot <clear
1552663874.970  0.036->: robot <add thread=1
1552663874.975  0.040->: robot <add irsensor=1,vel=0:dist=0.2
1552663874.979  0.044->: robot <add thread=100,event=30 : event=31
1552663874.983  0.048->: robot <add vel=0 : time=0.1
1552663874.987  0.053->: robot <add vel=0 : time=0.1
1552663874.991  0.057->: robot <add vel=0 : time=0.1
1552663874.995  0.061->: robot <add vel=0 : time=0.1
1552663874.999  0.065->: robot <add vel=0 : time=0.1
1552663875.003  0.069->: robot <add vel=0 : time=0.1
1552663875.008  0.073->: robot <add vel=0 : time=0.1
1552663875.012  0.077->: robot <add vel=0 : time=0.1
1552663875.016  0.081->: robot <add vel=0 : time=0.1
1552663875.020  0.085->: robot <add vel=0 : time=0.1
1552663875.024  0.090->: robot <add vel=0 : time=0.1
1552663875.028  0.094->: robot <add vel=0 : time=0.1
1552663875.032  0.098->: robot <add vel=0 : time=0.1
1552663875.037  0.102->: robot <add vel=0 : time=0.1
1552663875.041  0.106->: robot <add vel=0 : time=0.1
1552663875.045  0.110->: robot <add thread=101,event=31 : event=30
1552663875.049  0.115->: robot <add vel=0 : time=0.1
1552663875.053  0.119->: robot <add vel=0 : time=0.1
1552663875.057  0.123->: robot <add vel=0 : time=0.1
1552663875.061  0.127->: robot <add vel=0 : time=0.1
1552663875.066  0.131->: robot <add vel=0 : time=0.1
1552663875.070  0.135->: robot <add vel=0 : time=0.1
1552663875.074  0.139->: robot <add vel=0 : time=0.1
1552663875.078  0.144->: robot <add vel=0 : time=0.1
1552663875.082  0.148->: robot <add vel=0 : time=0.1
1552663875.086  0.152->: robot <add vel=0 : time=0.1
1552663875.091  0.156->: robot <add vel=0 : time=0.1
1552663875.095  0.160->: robot <add vel=0 : time=0.1
1552663875.099  0.164->: robot <add vel=0 : time=0.1
1552663875.103  0.169->: robot <add vel=0 : time=0.1
1552663875.107  0.173->: robot <add vel=0 : time=0.1
1552663875.122  0.187->: pse subscribe 1
1552663875.126  0.191->: lip subscribe 1
1552663875.130  0.196->: wve subscribe 2
1552663875.130  0.196<-: # Welcome to REGBOT bridge - send 'help' for more info
1552663875.132  0.198<-: bridge
1552663875.134  0.200->: mca subscribe 2
1552663875.138  0.204->: event subscribe 6
1552663875.143  0.208->: event get
1552663875.146  0.212<-: pse 2.00027 -0.238094 -0.10142 2.01571 -0.0337425
1552663875.147  0.212->: joy subscribe 1
1552663875.151  0.216->: joy get
1552663875.155  0.221->: wve subscribe 2
1552663875.159  0.225->: mca subscribe 2
1552663875.163  0.229->: mis subscribe 2
1552663875.167  0.233->: hbt subscribe 1
1552663875.172  0.237->: rid subscribe 3
1552663875.176  0.241->: robot u4
1552663875.180  0.246->: irc subscribe 1
1552663875.184  0.250->: robot sub 1 1 2
1552663875.189  0.254->: acw subscribe 1
1552663875.193  0.258->: gyw subscribe 1
1552663875.195  0.260<-: lip 0 1 0.0000 20 0.0000 20 1 44 44 0 0 0 0 4.5 1 0
1552663875.197  0.263->: robot sub 1 1 4
1552663875.197  0.263<-: event 33
1552663875.201  0.267->: robot sub 1 1 5
1552663875.205  0.271->: start
1552663875.215  0.280<-: joy 1 0 8 11 0 0 -32767 777 -2 -32767 0 0 0 0 0 0 0 0 0 0 0 0 0
1552663875.220  0.285->: <mod 101 1 vel=2.0, acc=1.0, edgel=0.0, white=1: xl>16
1552663875.224  0.289->: <mod 101 2 vel=2.0, acc=5.0, edgel=0.0, white=1: dist=1
1552663875.228  0.294->: <mod 101 3 vel=2.0, acc=5.0, edgel=0.0, white=1: xl>16
1552663875.228  0.294<-: rid 86 0.21 9.68 48 0.045 0.045 0 1 9.89407 6 Thit
1552663875.232  0.298->: <mod 101 4 vel=0.0, acc=1000.0:time=1
1552663875.236  0.302->: <mod 101 5 event=1:time=1.1
1552663875.241  0.307<-: gyw 0.12207 -0.0610352 0.152588
1552663875.244  0.309<-: event 33
1552663875.261  0.326<-: hbt 0.022 11.3222 0 6 0 235
1552663875.261  0.326->: <event=31
1552663875.263  0.328<-: wve 0 0
1552663875.271  0.336<-: event 31
1552663875.327  0.392<-: pse 2.00027 -0.238094 -0.10142 2.01571 -0.0338905
1552663875.341  0.406<-: irc 1.500 0.327 512 33066 72000 24096 72296 24096 1 1
1552663875.354  0.420<-: lip 0 1 0.0000 20 0.0000 20 1 44 44 0 0 0 0 4.5 1 0
1552663875.367  0.433<-: acw 0.362017 -0.0767187 -9.87274
1552663875.391  0.457<-: gyw 0.274658 0.0305176 0.213623
1552663875.394  0.459<-: mca 0 -0
1552663875.416  0.482<-: hbt 0.178 11.3242 0 7 0 235
1552663875.452  0.517<-: pse 2.00027 -0.238094 -0.10142 2.01571 -0.0338247
1552663875.479  0.544<-: irc 1.500 1.500 667 6259 72000 24096 72296 24096 1 1
1552663875.506  0.571<-: lip 0 1 0.0000 20 0.0000 20 1 44 44 0 0 0 0 4.5 1 0
1552663875.522  0.588<-: acw 0.287695 -0.124668 -9.80561
1552663875.524  0.590<-: wve 0 0
1552663875.549  0.614<-: gyw 0.0915527 0.152588 0.152588
1552663875.574  0.640<-: hbt 0.333999 11.3301 0 7 0 234
1552663875.609  0.674<-: pse 2.00027 -0.238094 -0.10142 2.01571 -0.0338459
