% log of messages transmitted to brudge (outgoing) (<-)
% received from bridge (incoming) (->)
% 1 Linux timestamp (seconds since 1 jan 1970)
% 2 mission time (sec)
% 3 direction flag ->: or <-:
% 4 string send or received
1553268603.029  3.181<-: acw 0.385991 -0.249336 -9.92549
1553268603.054  3.206<-: gyw 0.244141 0.152588 -0.12207
1553268603.079  3.231<-: hbt 196.318 11.5516 1 0 1 271
1553268603.084  3.236<-: wve 0 0.0284214
1553268603.118  3.269<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0318431
1553268603.140  3.292<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268603.167  3.319<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268603.186  3.338<-: acw 0.285298 -0.0767187 -9.83199
1553268603.213  3.364<-: gyw 0.305176 0.0610352 0.0305176
1553268603.221  3.372<-: mca 0.0122391 0.0766446
1553268603.236  3.388<-: hbt 196.475 11.5437 1 0 1 262
1553268603.273  3.424<-: pse -2.27404 -0.364718 -1.91629 7.43573 -0.0318422
1553268603.298  3.450<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268603.326  3.477<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268603.341  3.493<-: acw 0.33085 -0.124668 -9.89672
1553268603.347  3.498<-: wve 0 -0.0479835
1553268603.364  3.515<-: gyw 0.12207 0 0.0915527
1553268603.393  3.545<-: hbt 196.633 11.5378 1 0 1 270
1553268603.428  3.579<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0318681
1553268603.454  3.606<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268603.481  3.633<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268603.490  3.642<-: mca 0.00886249 -0.0621008
1553268603.502  3.654<-: acw 0.338042 -0.203784 -9.9183
1553268603.533  3.684<-: gyw 0.0915527 0 0.0915527
1553268603.550  3.701<-: hbt 196.79 11.5437 1 0 1 274
1553268603.590  3.742<-: pse -2.27404 -0.364718 -1.91629 7.43573 -0.031968
1553268603.610  3.762<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268603.616  3.768<-: wve 0 0.0283785
1553268603.636  3.788<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268603.657  3.809<-: acw 0.278105 -0.203784 -9.87514
1553268603.666  3.818<-: mis 0 0 0 'User_mission' 0 1
1553268603.681  3.832<-: gyw 0.244141 0.0915527 0.274658
1553268603.714  3.866<-: hbt 196.95 11.5497 1 0 1 270
1553268603.730  3.882<-: mca 0.0225773 0.100333
1553268603.747  3.898<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0318779
1553268603.772  3.924<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268603.802  3.954<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268603.818  3.969<-: rid 86 0.21 9.68 48 0.045 0.045 0 1 9.89407 6 Thit
1553268603.827  3.979<-: acw 0.266118 -0.110283 -9.47716
1553268603.842  3.993<-: gyw 0.488281 -0.183105 0.244141
1553268603.853  4.005<-: wve 0 -0.0496617
1553268603.867  4.018<-: hbt 197.11 11.5398 1 0 1 271
1553268603.901  4.052<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0319239
1553268603.928  4.080<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268603.956  4.107<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268603.972  4.123<-: acw 0.347632 -0.0863086 -9.79842
1553268603.983  4.134<-: mca 0.00838993 -0.0678481
1553268603.997  4.149<-: gyw 0.244141 -0.152588 0.12207
1553268604.025  4.177<-: hbt 197.267 11.5536 1 0 1 272
1553268604.060  4.211<-: pse -2.27404 -0.364718 -1.91629 7.43573 -0.0319023
1553268604.083  4.235<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268604.112  4.264<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268604.119  4.270<-: wve 0 -0.0367585
1553268604.128  4.280<-: acw 0.345234 -0.115078 -9.80082
1553268604.161  4.312<-: gyw 0.427246 -0.183105 -0.0610352
1553268604.182  4.333<-: hbt 197.424 11.5536 1 0 1 274
1553268604.213  4.365<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0318715
1553268604.239  4.390<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268604.246  4.398<-: mca 0.0258034 -0.0129043
1553268604.267  4.419<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
